snapshot_date,category_slug,category_en,category_uk,campaign_year,campaign_week,season_label,geography_level,oblast_slug,oblast_en,oblast_uk,crop_slug,crop_en,crop_uk,item_key,item_en,item_uk,metric_key,metric_en,metric_uk,value,unit_uk,unit_en,source_kind,source_path,notes
2024-07-12,hid-polovih-robit,Harvest progress,Хід збирання,2024,28,2024,national,,Ukraine,Вся Україна,__all__,All crops,Усі культури,production,Production,Намолочено,production,Production,Намолочено,8.3,млн тонн,Million tonnes,public_mirror_seed,https://sky.zp.ua/?p=912716,Public mirror article text only; no oblast breakdown available.
2024-08-16,hid-polovih-robit,Harvest progress,Хід збирання,2024,33,2024,national,,Ukraine,Вся Україна,__all__,All crops,Усі культури,production,Production,Намолочено,production,Production,Намолочено,31.8213,млн тонн,Million tonnes,public_mirror_seed,https://sky.zp.ua/?p=918277,Public mirror article text only; no full oblast table available.
2024-10-11,hid-polovih-robit,Harvest progress,Хід збирання,2024,41,2024,national,,Ukraine,Вся Україна,__all__,All crops,Усі культури,production,Production,Намолочено,production,Production,Намолочено,62.2,млн тонн,Million tonnes,public_mirror_seed,https://sky.zp.ua/stanom-na-11-zhovtnya-v-ukra%D1%97ni-zibrali-ponad-62-miljoni-tonn-novogo-vrozhayu-minagro/,Public mirror article text only; no full oblast table available.
2025-05-09,hid-sivbi-yarih-kultur,Spring sowing progress,Хід сівби ярих культур,2025,19,2025,national,,Ukraine,Вся Україна,__all__,All spring grains and pulses,Усі ярі зернові та зернобобові,actual_area,Actual area,Фактично,actual_area,Actual area,Фактично,4.32,млн га,Million ha,public_mirror_seed,https://uga.ua/ru/news/agraryy-zaseyaly-uzhe-76-yarovyh-zernovyh-y-zernobobovyh-kultur-ot-prognozyruemyh-ploshhadej/,Public mirror article text only; no crop-by-oblast table available.
2025-05-09,hid-sivbi-yarih-kultur,Spring sowing progress,Хід сівби ярих культур,2025,19,2025,national,,Ukraine,Вся Україна,__all__,All spring grains and pulses,Усі ярі зернові та зернобобові,progress_to_plan_pct,Progress to plan,До прогнозу,progress_to_plan_pct,Progress to plan,До прогнозу,76.0,%,Percent,public_mirror_seed,https://uga.ua/ru/news/agraryy-zaseyaly-uzhe-76-yarovyh-zernovyh-y-zernobobovyh-kultur-ot-prognozyruemyh-ploshhadej/,Public mirror article text only; no crop-by-oblast table available.
